iter	Passed	Remaining
0	21	65657
1	43	65507
2	66	66094
3	104	78131
4	125	75369
5	152	76275
6	176	75401
7	207	77627
8	238	79309
9	266	79712
10	297	80725
11	324	80783
12	353	81202
13	379	80945
14	407	81130
15	433	80797
16	460	80872
17	485	80437
18	511	80201
19	538	80278
20	567	80508
21	593	80373
22	615	79660
23	638	79162
24	660	78604
25	683	78221
26	709	78152
27	732	77717
28	757	77638
29	783	77574
30	806	77231
31	828	76823
32	849	76364
33	874	76246
34	901	76329
35	926	76243
36	950	76095
37	972	75832
38	997	75741
39	1019	75470
40	1044	75356
41	1065	75057
42	1090	75020
43	1113	74822
44	1140	74903
45	1166	74908
46	1190	74800
47	1220	75041
48	1246	75086
49	1275	75283
50	1302	75307
51	1330	75436
52	1355	75373
53	1378	75228
54	1405	75239
55	1429	75145
56	1454	75081
57	1480	75087
58	1508	75211
59	1531	75055
60	1555	74945
61	1583	75035
62	1606	74915
63	1629	74763
64	1655	74764
65	1677	74593
66	1701	74504
67	1724	74362
68	1746	74196
69	1771	74156
70	1793	73995
71	1814	73785
72	1835	73600
73	1860	73583
74	1882	73418
75	1904	73275
76	1930	73280
77	1952	73157
78	1977	73102
79	1998	72927
80	2019	72785
81	2041	72642
82	2066	72640
83	2094	72693
84	2119	72698
85	2148	72787
86	2172	72743
87	2197	72731
88	2227	72858
89	2253	72862
90	2282	72977
91	2305	72875
92	2332	72916
93	2363	73072
94	2388	73038
95	2412	72979
96	2440	73043
97	2469	73117
98	2493	73056
99	2517	73005
100	2542	72978
101	2569	73004
102	2596	73028
103	2622	73022
104	2644	72912
105	2670	72918
106	2693	72838
107	2716	72744
108	2742	72746
109	2774	72904
110	2798	72842
111	2819	72697
112	2841	72593
113	2861	72448
114	2887	72447
115	2908	72304
116	2930	72220
117	2953	72133
118	2977	72089
119	3000	72000
120	3020	71865
121	3042	71777
122	3067	71745
123	3092	71728
124	3120	71765
125	3149	71848
126	3173	71781
127	3203	71880
128	3229	71867
129	3257	71911
130	3285	71944
131	3315	72027
132	3341	72026
133	3372	72135
134	3397	72111
135	3423	72105
136	3451	72131
137	3474	72066
138	3498	72000
139	3522	71958
140	3546	71919
141	3570	71859
142	3596	71855
143	3619	71791
144	3649	71865
145	3672	71781
146	3693	71683
147	3718	71651
148	3738	71532
149	3770	71632
150	3791	71541
151	3816	71517
152	3838	71424
153	3864	71423
154	3888	71364
155	3913	71353
156	3935	71263
157	3956	71167
158	3979	71112
159	4005	71093
160	4026	71004
161	4048	70923
162	4068	70820
163	4089	70715
164	4118	70758
165	4147	70802
166	4174	70821
167	4214	71040
168	4251	71222
169	4274	71150
170	4301	71159
171	4323	71090
172	4346	71021
173	4385	71230
174	4406	71130
175	4432	71122
176	4461	71150
177	4485	71113
178	4509	71070
179	4532	71009
180	4555	70952
181	4582	70957
182	4604	70883
183	4625	70795
184	4647	70723
185	4672	70689
186	4693	70609
187	4714	70518
188	4736	70445
189	4762	70428
190	4788	70423
191	4808	70328
192	4828	70225
193	4854	70213
194	4877	70163
195	4903	70156
196	4925	70086
197	4953	70097
198	4979	70093
199	5002	70036
200	5025	69987
201	5050	69958
202	5073	69903
203	5102	69931
204	5126	69902
205	5153	69895
206	5180	69904
207	5205	69879
208	5231	69868
209	5262	69913
210	5291	69943
211	5315	69906
212	5346	69954
213	5377	70006
214	5399	69941
215	5425	69933
216	5456	69979
217	5482	69961
218	5503	69891
219	5532	69906
220	5555	69862
221	5581	69839
222	5602	69771
223	5627	69743
224	5652	69709
225	5673	69640
226	5693	69554
227	5720	69544
228	5740	69466
229	5765	69437
230	5786	69357
231	5807	69287
232	5829	69230
233	5867	69353
234	5888	69281
235	5909	69212
236	5931	69155
237	5955	69109
238	5977	69054
239	5999	68991
240	6021	68932
241	6047	68918
242	6068	68851
243	6093	68824
244	6116	68779
245	6140	68741
246	6170	68776
247	6196	68758
248	6221	68740
249	6255	68806
250	6278	68766
251	6303	68733
252	6326	68693
253	6351	68665
254	6376	68638
255	6403	68640
256	6432	68650
257	6455	68609
258	6477	68551
259	6502	68530
260	6528	68514
261	6552	68479
262	6577	68446
263	6598	68381
264	6618	68309
265	6642	68273
266	6666	68240
267	6688	68186
268	6713	68160
269	6733	68087
270	6754	68021
271	6780	68003
272	6805	67984
273	6829	67948
274	6854	67923
275	6877	67878
276	6902	67853
277	6925	67810
278	6965	67934
279	6986	67872
280	7008	67817
281	7034	67801
282	7059	67776
283	7081	67723
284	7108	67716
285	7131	67675
286	7154	67632
287	7182	67631
288	7206	67600
289	7235	67615
290	7257	67562
291	7285	67562
292	7312	67561
293	7341	67568
294	7364	67526
295	7390	67516
296	7413	67474
297	7444	67496
298	7466	67448
299	7492	67433
300	7515	67391
301	7538	67343
302	7567	67357
303	7590	67319
304	7616	67296
305	7641	67277
306	7663	67223
307	7687	67189
308	7710	67148
309	7736	67128
310	7759	67088
311	7780	67028
312	7805	67007
313	7831	66994
314	7853	66941
315	7879	66929
316	7903	66896
317	7925	66840
318	7945	66774
319	7969	66742
320	7989	66682
321	8010	66623
322	8036	66604
323	8061	66578
324	8086	66558
325	8109	66518
326	8136	66513
327	8164	66511
328	8191	66503
329	8217	66483
330	8239	66440
331	8267	66441
332	8294	66428
333	8322	66434
334	8345	66391
335	8378	66430
336	8401	66387
337	8423	66344
338	8445	66289
339	8469	66260
340	8499	66274
341	8522	66238
342	8545	66197
343	8567	66151
344	8588	66094
345	8612	66064
346	8632	65999
347	8652	65935
348	8679	65925
349	8704	65904
350	8725	65854
351	8756	65869
352	8777	65819
353	8803	65803
354	8828	65779
355	8850	65730
356	8871	65680
357	8897	65661
358	8919	65616
359	8942	65581
360	8964	65530
361	8986	65486
362	9008	65442
363	9031	65400
364	9051	65342
365	9078	65338
366	9102	65307
367	9125	65270
368	9156	65284
369	9193	65345
370	9217	65320
371	9244	65304
372	9270	65293
373	9300	65301
374	9338	65368
375	9366	65363
376	9398	65390
377	9420	65344
378	9445	65321
379	9469	65289
380	9496	65280
381	9524	65271
382	9548	65240
383	9569	65190
